"","r.o","theta","x.o","y.o","x.i","y.i","r.i"
"1",1.01959115820832,0.196349540849362,1,0.198912367379658,0.999999999999999,4.0849362059614e-08,1
"2",1.01959115820832,0.589048622548086,0.847759065022573,0.566454497350521,0.923879516878912,0.382683470104979,1
"3",1.01959115820832,0.98174770424681,0.566454497350522,0.847759065022573,0.707106752301686,0.707106810071408,1
"4",1.01959115820832,1.37444678594553,0.198912367379658,1,0.3826833946252,0.92387954814366,1
"5",1.01959115820832,1.76714586764426,-0.198912367379658,1,-4.08493620538948e-08,0.999999999999999,1
"6",1.01959115820832,2.15984494934298,-0.566454497350521,0.847759065022574,-0.382683470104979,0.923879516878912,1
"7",1.01959115820832,2.55254403104171,-0.847759065022574,0.566454497350521,-0.707106810071408,0.707106752301686,1
"8",1.01959115820832,2.94524311274043,-1,0.198912367379658,-0.92387954814366,0.3826833946252,1
"9",1.01959115820832,3.33794219443916,-1,-0.198912367379658,-0.999999999999999,-4.08493619926645e-08,1
"10",1.01959115820832,3.73064127613788,-0.847759065022574,-0.566454497350521,-0.923879516878912,-0.382683470104978,1
"11",1.01959115820832,4.1233403578366,-0.566454497350521,-0.847759065022573,-0.707106752301686,-0.707106810071408,1
"12",1.01959115820832,4.51603943953533,-0.198912367379658,-1,-0.3826833946252,-0.92387954814366,1
"13",1.01959115820832,4.90873852123405,0.198912367379658,-1,4.08493619314342e-08,-0.999999999999999,1
"14",1.01959115820832,5.30143760293278,0.566454497350521,-0.847759065022574,0.382683470104978,-0.923879516878912,1
"15",1.01959115820832,5.6941366846315,0.847759065022573,-0.566454497350521,0.707106810071408,-0.707106752301686,1
"16",1.01959115820832,6.08683576633022,1,-0.198912367379658,0.92387954814366,-0.382683394625201,1
"17",1.01959115820832,0.196349540849362,1,0.198912367379658,0.999999999999999,4.0849362059614e-08,1
